Xn,F(Xn),F'(Xn),Xn+1,Error
(-4.568504864541925+0j),(-0.15988499781979493+0j),(1395.1858611541186+0j),(-4.5683902669085406+0j),(0.00011459763338450557+0j)
(-4.5683902669085406+0j),(-0.15724185394794254+0j),(1395.108383011413+0j),(-4.568277557490504+0j),(0.00011270941803687151+0j)
(-4.568277557490504+0j),(-0.15464250957338654+0j),(1395.0321835445914+0j),(-4.568166705202365+0j),(0.00011085228813900727+0j)
(-4.568166705202365+0j),(-0.1520862354923076+0j),(1394.9572416351225+0j),(-4.5680576794695655+0j),(0.00010902573279913952+0j)
(-4.5680576794695655+0j),(-0.14957231475196653+0j),(1394.8835365137784+0j),(-4.567950450220072+0j),(0.000107229249493912+0j)
(-4.567950450220072+0j),(-0.14710004244129427+0j),(1394.8110477548416+0j),(-4.567844987876137+0j),(0.00010546234393427056+0j)
(-4.567844987876137+0j),(-0.14466872548512377+0j),(1394.7397552704044+0j),(-4.567741263346211+0j),(0.00010372452992601922+0j)
(-4.567741263346211+0j),(-0.14227768244216032+0j),(1394.6696393047696+0j),(-4.567639248016966+0j),(0.00010201532924547507+0j)
(-4.567639248016966+0j),(-0.1399262433063726+0j),(1394.6006804289389+0j),(-4.567538913745464+0j),(0.00010033427150180074+0j)
(-4.567538913745464+0j),(-0.13761374931201598+0j),(1394.5328595351968+0j),(-4.56744023285145+0j),(9.86808940144357e-05+0j)
