Xn,F(Xn),F'(Xn),Xn+1,Error
(-6.687136369580484+0j),(-102.10139835966491+0j),(3191.1644912015+0j),(-6.655141341232314+0j),(0.03199502834817025+0j)
(-6.655141341232314+0j),(-99.63319225915022+0j),(3158.6343621752667+0j),(-6.623598218212993+0j),(0.03154312301932105+0j)
(-6.623598218212993+0j),(-97.23184636033267+0j),(3126.7260358958297+0j),(-6.592501203238198+0j),(0.031097014974794668+0j)
(-6.592501203238198+0j),(-94.89537814165972+0j),(3095.4267642832197+0j),(-6.56184456511753+0j),(0.03065663812066788+0j)
(-6.56184456511753+0j),(-92.62186771583367+0j),(3064.7240796702386+0j),(-6.531622638018044+0j),(0.030221927099486123+0j)
(-6.531622638018044+0j),(-90.40945576430144+0j),(3034.605788289899+0j),(-6.501829820739049+0j),(0.029792817278995187+0j)
(-6.501829820739049+0j),(-88.25634154193449+0j),(3005.0599639186785+0j),(-6.472460575997974+0j),(0.029369244741075384+0j)
(-6.472460575997974+0j),(-86.16078094946074+0j),(2976.0749416718195+0j),(-6.443509429727087+0j),(0.02895114627088624+0j)
(-6.443509429727087+0j),(-84.12108467129585+0j),(2947.6393119470004+0j),(-6.4149709703808755+0j),(0.02853845934621191+0j)
(-6.4149709703808755+0j),(-82.13561637650444+0j),(2919.7419145128015+0j),(-6.386839848253867+0j),(0.02813112212700819+0j)
(-6.386839848253867+0j),(-80.20279098070277+0j),(2892.3718327384745+0j),(-6.359110774808713+0j),(0.02772907344515474+0j)
(-6.359110774808713+0j),(-78.32107296679027+0j),(2865.518387961592+0j),(-6.331778522014305+0j),(0.027332252794407985+0j)
(-6.331778522014305+0j),(-76.48897476247225+0j),(2839.171133990258+0j),(-6.304837921693755+0j),(0.026940600320549457+0j)
(-6.304837921693755+0j),(-74.7050551726089+0j),(2813.3198517366377+0j),(-6.278283864882016+0j),(0.02655405681173928+0j)
(-6.278283864882016+0j),(-72.96791786449292+0j),(2787.9545439786175+0j),(-6.2521113011929526+0j),(0.02617256368906329+0j)
(-6.2521113011929526+0j),(-71.27620990422669+0j),(2763.0654302465264+0j),(-6.22631523819568+0j),(0.025796062997272884+0j)
